concept,manual_coarse_grained,lemma,wiki_frequency,n_wn_senses,min_wn_sim_wup,poly_type,mipvu_met,wn_abs_conc
vegetables,-,vegetable,17635,2,0.23529411764705882,homonyms_only_different_pos,non-met,conc
spiciness,-,spiciness,137,2,0.42857142857142855,oov,oov,abs
firewood,-,firewood,2924,1,1.0,mon,oov,conc
toilet,-,toilet,10036,4,0.10526315789473684,poly,non-met,abs-conc
pizza,-,pizza,11414,1,1.0,mon,oov,conc
ingredients,-,ingredient,16639,3,0.125,mon,oov,abs-conc
sauna,-,sauna,1698,1,1.0,poly,oov,conc
chutneys,-,chutney,153,1,1.0,mon,oov,conc
tub,-,tub,2954,3,0.13333333333333333,poly,non-met,abs-conc
dish,-,dish,21581,8,0.1111111111111111,homonyms_only_different_pos,oov,abs-conc
bathtub,-,bathtub,2078,1,1.0,mon,non-met,conc
custard,-,custard,1600,1,1.0,poly,oov,conc
tortillas,-,tortilla,684,1,1.0,mon,oov,conc
sandwiches,-,sandwich,2979,3,0.18181818181818182,homonyms_only_different_pos,non-met,conc
candy,-,candy,16606,2,None,homonyms_only_different_pos,oov,conc
kerosene,-,kerosene,2936,1,0.9090909090909091,mon,oov,abs
heaters,-,heater,2258,2,0.11764705882352941,mon,non-met,abs-conc
heater,-,heater,3034,2,0.11764705882352941,mon,non-met,abs-conc
roast,-,roast,2844,5,0.10526315789473684,homonyms_only_different_pos,met non-met,abs-conc
dessert,-,dessert,4305,1,1.0,mon,oov,conc
pastries,-,pastry,1432,2,0.375,poly,non-met,conc
jugs,-,jug,885,4,0.125,homonyms_only_different_pos,oov,abs-conc
jar,-,jar,5719,8,0.1111111111111111,homonyms_also_same_pos,non-met,abs-conc
seasonings,-,seasoning,682,5,0.11764705882352941,poly,oov,abs-conc
shower,-,shower,7586,11,0.09523809523809523,homonyms_only_different_pos,met non-met,abs-conc
noodles,-,noodle,3387,2,0.25,mon,oov,conc
cookers,-,cooker,603,1,1.0,poly,non-met,conc
lamps,-,lamp,11389,2,0.6666666666666666,poly,non-met,conc
hearth,-,hearth,2668,3,0.35294117647058826,poly,oov,conc
cooker,-,cooker,884,1,1.0,poly,non-met,conc
tray,-,tray,2969,1,1.0,poly,non-met,conc
flatbread,-,flatbread,373,1,1.0,oov,oov,conc
steam,-,steam,71855,7,0.2222222222222222,homonyms_only_different_pos,met non-met,abs
pots,-,pot,6228,10,0.09523809523809523,homonyms_only_different_pos,non-met,abs-conc
casseroles,-,casserole,163,2,0.23529411764705882,poly,oov,conc
tandoor,-,tandoor,165,1,1.0,oov,oov,conc
cans,-,can,5281,8,0.11764705882352941,homonyms_only_different_pos,non-met,abs-conc
refrigerator,-,refrigerator,2812,1,1.0,mon,oov,conc
barbecue,-,barbecue,4038,4,0.2,homonyms_only_different_pos,non-met,conc
tea,-,tea,41766,5,0.1,poly,non-met,abs-conc
enchiladas,-,enchiladas,135,1,1.0,oov,oov,conc
kiln,-,kiln,3934,1,1.0,mon,oov,conc
snack,-,snack,5025,2,None,homonyms_only_different_pos,oov,conc
drinks,-,drink,15257,10,0.1111111111111111,homonyms_only_different_pos,met non-met,abs-conc
marinade,-,marinade,212,2,None,poly,oov,conc
butter,-,butter,11341,3,0.3333333333333333,homonyms_only_different_pos,non-met,conc
chocolate,-,chocolate,19564,3,0.13333333333333333,homonyms_only_different_pos,non-met,abs-conc
pie,-,pie,11835,2,0.13333333333333333,poly,non-met,abs-conc
vaporizer,-,vaporizer,152,1,1.0,oov,oov,conc
sauce,-,sauce,11296,4,0.3333333333333333,homonyms_only_different_pos,non-met,conc
percolator,-,percolator,106,1,1.0,mon,oov,conc
dishes,-,dish,15977,8,0.1111111111111111,homonyms_only_different_pos,oov,abs-conc
atole,-,atole,150,1,1.0,oov,oov,conc
furnace,-,furnace,10007,1,1.0,poly,non-met,conc
bottle,-,bottle,18995,5,0.13333333333333333,homonyms_only_different_pos,non-met,abs-conc
sundaes,-,sundae,122,1,1.0,mon,oov,conc
pudding,-,pudding,3422,3,0.7058823529411765,poly,non-met,conc
heating,-,heating,22413,6,0.2222222222222222,mon,non-met,conc
dough,-,dough,4970,2,0.125,poly,oov,abs-conc
burner,-,burner,2661,2,0.375,mon,oov,conc
ovens,-,oven,3456,1,1.0,poly,non-met,conc
boiler,-,boiler,12926,2,0.8421052631578947,poly,oov,conc
candles,-,candle,5465,3,0.10526315789473684,poly,non-met,abs-conc
pies,-,pie,2659,2,0.13333333333333333,poly,non-met,abs-conc
vinaigrette,-,vinaigrette,113,1,1.0,mon,oov,conc
griddle,-,griddle,349,2,None,mon,oov,conc
mug,-,mug,1390,5,0.125,homonyms_only_different_pos,oov,abs-conc
quesadillas,-,quesadilla,124,1,1.0,oov,oov,conc
chimney,-,chimney,9203,2,0.9,poly,non-met,conc
smoke,-,smoke,27545,10,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
lamp,-,lamp,12970,2,0.6666666666666666,poly,non-met,conc
pot,-,pot,16449,10,0.09523809523809523,homonyms_only_different_pos,non-met,abs-conc
bread,-,bread,24007,3,0.13333333333333333,poly,non-met,abs-conc
stoves,-,stove,2183,4,0.16666666666666666,homonyms_only_different_pos,oov,conc
fireplaces,-,fireplace,2349,1,1.0,poly,oov,conc
coffee,-,coffee,42783,4,0.1,poly,non-met,abs-conc
toaster,-,toaster,903,2,0.36363636363636365,mon,oov,conc
cakes,-,cake,4849,4,0.26666666666666666,homonyms_only_different_pos,met non-met,conc
kettle,-,kettle,4052,4,0.125,poly,oov,abs-conc
cake,-,cake,13460,4,0.26666666666666666,homonyms_only_different_pos,met non-met,conc
fireplace,-,fireplace,5533,1,1.0,poly,oov,conc
